Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Justin Jefferson (25323474),Justin Jefferson,25323474,WR/FLEX,9100,DAL@MIN 11/20/2022 04:25PM ET,MIN,25.25
WR,Cooper Kupp (25323476),Cooper Kupp,25323476,WR/FLEX,8900,LAR@NO 11/20/2022 01:00PM ET,LAR,24.16
RB,Saquon Barkley (25323208),Saquon Barkley,25323208,RB/FLEX,8900,DET@NYG 11/20/2022 01:00PM ET,NYG,21.31
WR,Davante Adams (25323478),Davante Adams,25323478,WR/FLEX,8700,LV@DEN 11/20/2022 04:05PM ET,LV,22.03
QB,Josh Allen (25323137),Josh Allen,25323137,QB,8500,CLE@BUF 11/20/2022 01:00PM ET,BUF,29.21
QB,Lamar Jackson (25323138),Lamar Jackson,25323138,QB,8400,CAR@BAL 11/20/2022 01:00PM ET,BAL,23.58
WR,Stefon Diggs (25323480),Stefon Diggs,25323480,WR/FLEX,8300,CLE@BUF 11/20/2022 01:00PM ET,BUF,25.61
RB,Nick Chubb (25323210),Nick Chubb,25323210,RB/FLEX,8200,CLE@BUF 11/20/2022 01:00PM ET,CLE,21.58
QB,Jalen Hurts (25323139),Jalen Hurts,25323139,QB,8200,PHI@IND 11/20/2022 01:00PM ET,PHI,25.12
WR,A.J. Brown (25323482),A.J. Brown,25323482,WR/FLEX,8000,PHI@IND 11/20/2022 01:00PM ET,PHI,17.61
RB,Dalvin Cook (25323212),Dalvin Cook,25323212,RB/FLEX,8000,DAL@MIN 11/20/2022 04:25PM ET,MIN,17.37
RB,Jonathan Taylor (25323214),Jonathan Taylor,25323214,RB/FLEX,7800,PHI@IND 11/20/2022 01:00PM ET,IND,14.8
WR,Ja'Marr Chase (25323484),Ja'Marr Chase,25323484,WR/FLEX,7700,CIN@PIT 11/20/2022 04:25PM ET,CIN,21.67
QB,Justin Fields (25323140),Justin Fields,25323140,QB,7600,CHI@ATL 11/20/2022 01:00PM ET,CHI,21.85
RB,Alvin Kamara (25323216),Alvin Kamara,25323216,RB/FLEX,7600,LAR@NO 11/20/2022 01:00PM ET,NO,17.34
RB,Josh Jacobs (25323218),Josh Jacobs,25323218,RB/FLEX,7500,LV@DEN 11/20/2022 04:05PM ET,LV,20.46
WR,CeeDee Lamb (25323486),CeeDee Lamb,25323486,WR/FLEX,7500,DAL@MIN 11/20/2022 04:25PM ET,DAL,17.53
RB,Joe Mixon (25323220),Joe Mixon,25323220,RB/FLEX,7400,CIN@PIT 11/20/2022 04:25PM ET,CIN,19.41
WR,Amon-Ra St. Brown (25323488),Amon-Ra St. Brown,25323488,WR/FLEX,7200,DET@NYG 11/20/2022 01:00PM ET,DET,16.48
WR,Tee Higgins (25323490),Tee Higgins,25323490,WR/FLEX,7100,CIN@PIT 11/20/2022 04:25PM ET,CIN,13.16
