Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Roster Position
63499-55050,RB,Christian,Christian McCaffrey,McCaffrey,16.38000031,5,10400,NYJ@CAR,CAR,NYJ,,,,RB/FLEX
63499-54140,RB,Dalvin,Dalvin Cook,Cook,22.55714199,14,9400,MIN@CIN,MIN,CIN,,,,RB/FLEX
63499-39280,RB,Derrick,Derrick Henry,Henry,19.42353013,17,8900,ARI@TEN,TEN,ARI,,,,RB/FLEX
63499-57439,QB,Patrick,Patrick Mahomes,Mahomes,24.42222256,18,8800,CLE@KC,KC,CLE,,,,QB
63499-45889,WR,Davante,Davante Adams,Adams,20.95000076,16,8600,GB@NO,GB,NO,,,,WR/FLEX
63499-42104,RB,Alvin,Alvin Kamara,Kamara,21.58235258,17,8600,GB@NO,NO,GB,,,,RB/FLEX
63499-63115,QB,Lamar,Lamar Jackson,Jackson,22.14235373,17,8600,BAL@LV,BAL,LV,,,,QB
63499-33076,TE,Travis,Travis Kelce,Kelce,18.32000054,18,8500,CLE@KC,KC,CLE,,,,TE/FLEX
63499-53681,WR,Tyreek,Tyreek Hill,Hill,18.57222154,18,8500,CLE@KC,KC,CLE,,,,WR/FLEX
63499-64401,RB,Saquon,Saquon Barkley,Barkley,4.133333206,3,8500,DEN@NYG,NYG,DEN,Q,Knee - acl + mcl,,RB/FLEX
63499-63484,QB,Kyler,Kyler Murray,Murray,24.42124939,16,8400,ARI@TEN,ARI,TEN,,,,QB
63499-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,14.39375019,16,8200,ARI@TEN,ARI,TEN,Q,Undisclosed,,WR/FLEX
63499-62239,QB,Josh,Josh Allen,Allen,25.14421001,19,8100,PIT@BUF,BUF,PIT,,,,QB
63499-64555,WR,Calvin,Calvin Ridley,Ridley,15.76666667,15,8100,PHI@ATL,ATL,PHI,,,,WR/FLEX
63499-6894,QB,Aaron,Aaron Rodgers,Rodgers,24.34111192,18,8000,GB@NO,GB,NO,,,,QB
63499-85671,WR,Justin,Justin Jefferson,Jefferson,14.38749981,16,8000,MIN@CIN,MIN,CIN,Q,Shoulder - ac joint,,WR/FLEX
63499-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,13.1799998,15,8000,DAL@TB,DAL,TB,,,,RB/FLEX
63499-25079,WR,Stefon,Stefon Diggs,Diggs,16.74736906,19,7900,PIT@BUF,BUF,PIT,Q,Knee,,WR/FLEX
63499-89675,RB,Jonathan,Jonathan Taylor,Taylor,15.63749981,16,7900,SEA@IND,IND,SEA,,,,RB/FLEX
63499-6498,QB,Tom,Tom Brady,Brady,21.75299988,20,7800,DAL@TB,TB,DAL,,,,QB
63499-72846,WR,A.J.,A.J. Brown,Brown,15.3200002,15,7800,ARI@TEN,TEN,ARI,Q,Knee,,WR/FLEX
63499-22015,QB,Russell,Russell Wilson,Wilson,23.04352884,17,7800,SEA@IND,SEA,IND,,,,QB
63499-53562,RB,Nick,Nick Chubb,Chubb,15.36666667,15,7700,CLE@KC,CLE,KC,,,,RB/FLEX
63499-73048,WR,DK,DK Metcalf,Metcalf,14.93529376,17,7700,SEA@IND,SEA,IND,,,,WR/FLEX
63499-21948,QB,Ryan,Ryan Tannehill,Tannehill,21.20941162,17,7700,ARI@TEN,TEN,ARI,,,,QB
63499-31716,QB,Dak,Dak Prescott,Prescott,23.1899999,6,7600,DAL@TB,DAL,TB,,,,QB
63499-69189,QB,Justin,Justin Herbert,Herbert,22.85599976,15,7600,LAC@WAS,LAC,WAS,,,,QB
63499-32384,WR,Mike,Mike Evans,Evans,12.575,20,7600,DAL@TB,TB,DAL,,,,WR/FLEX
63499-69531,QB,Jalen,Jalen Hurts,Hurts,8.045714242,14,7600,PHI@ATL,PHI,ATL,,,,QB
63499-54879,QB,Deshaun,Deshaun Watson,Watson,23.52000046,16,7500,JAC@HOU,HOU,JAC,,,,QB
63499-6654,QB,Matthew,Matthew Stafford,Stafford,16.90999985,16,7400,CHI@LAR,LAR,CHI,,,,QB
63499-29253,WR,Keenan,Keenan Allen,Allen,13.93571472,14,7400,LAC@WAS,LAC,WAS,,,,WR/FLEX
63499-40442,RB,Aaron,Aaron Jones,Jones,16.03750038,16,7400,GB@NO,GB,NO,,,,RB/FLEX
63499-6616,QB,Matt,Matt Ryan,Ryan,18.34000015,16,7300,PHI@ATL,ATL,PHI,,,,QB
63499-39716,WR,Adam,Adam Thielen,Thielen,14.46666667,15,7300,MIN@CIN,MIN,CIN,Q,Thigh,,WR/FLEX
63499-55635,WR,Chris,Chris Godwin,Godwin,12.26875019,16,7200,DAL@TB,TB,DAL,Q,Quadriceps,,WR/FLEX
63499-52442,RB,Joe,Joe Mixon,Mixon,14.84999975,6,7200,MIN@CIN,CIN,MIN,,,,RB/FLEX
63499-22038,QB,Kirk,Kirk Cousins,Cousins,19.95000076,16,7200,MIN@CIN,MIN,CIN,,,,QB
63499-63336,QB,Joe,Joe Burrow,Burrow,17.87200012,10,7200,MIN@CIN,CIN,MIN,,,,QB
63499-6589,QB,Ben,Ben Roethlisberger,Roethlisberger,19.45375061,16,7100,PIT@BUF,PIT,BUF,,,,QB
63499-41535,QB,Baker,Baker Mayfield,Mayfield,16.16111077,18,7100,CLE@KC,CLE,KC,,,,QB
63499-73273,RB,David,David Montgomery,Montgomery,15.05624962,16,7100,CHI@LAR,CHI,LAR,,,,RB/FLEX
63499-25011,TE,Darren,Darren Waller,Waller,14.06875038,16,7000,BAL@LV,LV,BAL,,,,TE/FLEX
63499-90933,RB,Antonio,Antonio Gibson,Gibson,12.5799998,15,7000,LAC@WAS,WAS,LAC,,,,RB/FLEX
63499-39793,TE,George,George Kittle,Kittle,12.63749981,8,7000,SF@DET,SF,DET,,,,TE/FLEX
